DCLXXVIII,678
xCii,92
1976,MCMLXXVI
1963,MCMLXIII
MMDCLXXVII,2677
846,DCCCXLVI
1343,MCCCXLIII
MCMXXXIII,1933
1201,MCCI
1571,MDLXXI
2447,MMCDXLVII
118,CXVIII
1158,MCLVIII
CCXIV,214
2346,MMCCCXLVI
MDCXI,1611
1506,MDVI
1137,MCXXXVII
720,DCCXX
2587,MMDLXXXVII
MMDLXXII,2572
MDCCIII,1703
MMCLXXIV,2174
2073,MMLXXIII
2263,MMCCLXIII
1152,MCLII
1021,MXXI
1891,MDCCCXCI
DCCCXCI,891
MXXXIX,1039
DCLXXIX,679
1900,MCM
CDIII,403
MMDCCXXXIV,2734
MLXX,1070
MDCCXLIII,1743
MMCDXC,2490
MCMLXXXV,1985
2430,MMCDXXX
1416,MCDXVI
1747,MDCCXLVII
2232,MMCCXXXII
2735,MMDCCXXXV
MMDCLXXIX,2679
66,LXVI
2585,MMDLXXXV
MCCCLXIV,1364
194,CXCIV
MDCXXXV,1635
DXXIII,523
MMCCLXXXVIII,2288
MDCCVIII,1708
1035,MXXXV
793,DCCXCIII
MDCCLXIV,1764
2790,MMDCCXC
521,DXXI
2552,MMDLII
1310,MCCCX
MMXXXV,2035
DCLXXI,671
1390,MCCCXC
MDCCLXIII,1763
1044,MXLIV
CCCLXVIII,368
DCXLVIII,648
2023,MMXXIII
MMCXXXIII,2133
870,DCCCLXX
1732,MDCCXXXII
387,CCCLXXXVII
CMLXXVII,977
2148,MMCXLVIII
CXLIII,143
MMDCXIV,2614
987,CMLXXXVII
2446,MMCDXLVI
MMCXLIV,2144
MDXXX,1530
MCCLIV,1254
879,DCCCLXXIX
MCCXX,1220
MMCDXIX,2419
DXCI,591
DCCXLV,745
2395,MMCCCXCV
352,CCCLII
MDCCCXXXV,1835
DCXIX,619
MDCCCLXXII,1872
297,CCXCVII
1837,MDCCCXXXVII
2316,MMCCCXVI
MMCCLXIII,2263
2024,MMXXIV
223,CCXXIII
939,CMXXXIX
114,CXIV
326,CCCXXVI
1081,MLXXXI
DIX,509
MCDX,1410
2457,MMCDLVII
MDCCCLXI,1861
1227,MCCXXVII
DCLXXIII,673
445,CDXLV
143,CXLIII
CXXXIV,134
MDLXXXII,1582
MMDCCCLIV,2854
MMCMLXXVIII,2978
MDCCXLIV,1744
MMCXXVIII,2128
176,CLXXVI
MMDCCCL,2850
216,CCXVI
MMLVIII,2058
37,XXXVII
2780,MMDCCLXXX
2565,MMDLXV
DLX,560
967,CMLXVII
2595,MMDXCV
499,CDXCIX
MXCVII,1097
1557,MDLVII
57,LVII
546,DXLVI
2121,MMCXXI
2154,MMCLIV
x 324#23# 4,ERROR
63,LXIII
MDXXXIII,1533
2514,MMDXIV
MMCCLIII,2253
1471,MCDLXXI
CMXXXIV,934
826,DCCCXXVI
1702,MDCCII
2361,MMCCCLXI
MDCCXXIX,1729
CLXII,162
989,CMLXXXIX
MMCMXCIV,2994
MDCXXXI,1631
MMDCCLXXVII,2777
 lD,450
2821,MMDCCCXXI
MCCCXVI,1316
1804,MDCCCIV
712,DCCXII
1364,MCCCLXIV
L,50
2969,MMCMLXIX
MMCMXLII,2942
1204,MCCIV
MDLXII,1562
1768,MDCCLXVIII
MDCCCXVII,1817
2516,MMDXVI
MCDVI,1406
1163,MCLXIII
MCCXXVI,1226
MMCDX,2410
MDCLX,1660
985,CMLXXXV
CXXV,125
MMCXCVI,2196
2688,MMDCLXXXVIII
CMLXXXVI,986
959,CMLIX
1689,MDCLXXXIX
MCXXXIV,1134
2115,MMCXV
514,DXIV
MDCCXCVII,1797
MMDCCCXXVII,2827
1325,MCCCXXV
MCCCXI,1311
CDXLIX,449
MCCCXVIII,1318
862,DCCCLXII
905,CMV
MDCCCLXXX,1880
1500,MD
DCCXVII,717
119,CXIX
615,DCXV
CXV,115
CCCXXXII,332
MDCCLXXI,1771
1497,MCDXCVII
1254,MCCLIV
MDCCCXCVI,1896
1345,MCCCXLV
MX,1010
MDCCCXXIV,1824
2645,MMDCXLV
DCCCXXI,821
MCLXXXIX,1189
MCM,1900
762,DCCLXII
2416,MMCDXVI
1480,MCDLXXX
1899,MDCCCXCIX
DCLXIX,669
DCCCLXVII,867
MMCMLVI,2956
1075,MLXXV
198,CXCVIII
1413,MCDXIII
MDXX,1520
52,LII
896,DCCCXCVI
MDCCXXXVII,1737
753,DCCLIII
1176,MCLXXVI
713,DCCXIII
2621,MMDCXXI
LII,52
MCCCIII,1303
2013,MMXIII
MMCXIV,2114
2795,MMDCCXCV
2440,MMCDXL
981,CMLXXXI
2757,MMDCCLVII
MDCXVIII,1618
MCDXXXI,1431
CLXI,161
2680,MMDCLXXX
CCLXXVI,276
618,DCXVIII
1193,MCXCIII
MCXXXIII,1133
MMCMLI,2951
MDCCCXCIX,1899
DCCCXXXVII,837
DCCLXXIII,773
MMCMXV,2915
CDLXXX,480
MMDXX,2520
224,CCXXIV
MMCCLXIV,2264
1446,MCDXLVI
342,CCCXLII
966,CMLXVI
1358,MCCCLVIII
DX,510
276,CCLXXVI
DCCXCIII,793
1873,MDCCCLXXIII
CMXXVIII,928
2654,MMDCLIV
2437,MMCDXXXVII
